row_num,Star_Name,Distance,Mass,Radius,brown_dwarf_name,brown_dwarf_dist,brown_dwarf_mass,brown_dwarf_radius
0,Sun,0.000015813,1.989e+30,695700000.0,SDSS J000013.54+255418.6 [de],46.1,48.0,0.99,Gravity
1,Sirius,0008.6,4.1769e+30,1189647000.0,2MASS J00040288-6410358,192.0,19.0,1.63,274.2691614595739
2,Canopus,0310,2.9835e+31,49394700000.0,LHS 102BC,,,,196.971799550325
3,Alpha Centauri,0004.4,2.1879e+30,834840000.0,2MASS J00242463-0158201,37.7,79.0,1.09,0.8161153386021839
4,Arcturus,0037,2.1879e+30,18088200000.0,2MASS J00250365+4759191AB,143.0,,,209.51116500384123
5,Vega,0025,4.3758e+30,1878390000.0000002,2MASS J00274197+0503417,236.0,31.0,1.44,0.4462959727892475
6,Capella,0043,5.1714e+30,8348400000.0,2MASS J00275592+2219328,46.9,,,82.76984296448046
7,Rigel,0860,4.574699999999999e+31,54890730000.00001,2MASSW J0030300-145033,87.2,54.0,0.98,4.952082081908975
8,Procyon,0011.4,2.9835e+30,1321830000.0,2MASS J00332386-1521309 [de],131.0,29.0,1.43,1.01332978543217
9,Betelgeuse,0640[1],3.978e+31,660915000000.0,2MASS J00345157+0523050,31.0,42.0,0.94,113.9622554541166
10,Achernar,0144,1.33263e+31,6470010000.000001,2MASS 0036+1821,28.6,42.0,0.94,0.006077986957552886
11,Hadar,0390,2.08845e+31,5983020000.0,2MASSW J0045214+163445,57.0,23.0,1.62,21.246425965766505
12,Altair,0017,3.5802e+30,1252260000.0,WISEP J004701.06+680352.1 [fr],40.0,12.0,1.3,38.937617567949246
13,Acrux,0320,3.5801999999999996e+31,6191730000.0,2MASS J00501994-3322402 [de],34.0,40.0,0.94,152.37175636643
14,Aldebaran,0065,2.9835e+30,30610800000.0,2MASS J00034227-2822410,,,,62.326030883377484
15,Antares,0600,2.3868e+31,473076000000.0,2MASS J00584253-0651239 [de],96.0,29.0,1.43,0.21250193294905007
16,Spica,0260,2.2734269999999998e+31,5196879000.0,CFBDS J005910.90–011401.3,30.0,23.0,,0.0071177118025840995
17,Pollux,0034,3.7790999999999997e+30,6122160000.000001,2MASSI J0103320+193536,70.0,52.0,0.98,56.18003500809001
18,Fomalhaut,0025,3.7790999999999997e+30,1252260000.0,SDSSp J010752.33+004156.1 [de],51.0,52.0,0.98,6.729227876719917
19,Deneb,"2,600",3.7791e+31,141227100000.0,2MASSI J0117474-340325 [de],163.0,20.0,1.62,160.83685394234274
20,Mimosa,0350,3.1824e+31,5843880000.0,2MASS J01415823-4633574 [de],130.0,20.0,1.61,0.12645572733460908
21,Regulus,0077,7.558199999999999e+30,2156670000.0,SDSS J015141.69+124429.6,70.0,47.0,0.97,62.19255361895101
22,Adhara,0430,2.48625e+31,9739800000.0,DENIS-P J020529.0−115925A,65.0,,,108.45190567600218
23,Shaula,0700,2.88405e+31,6122160000.000001,DENIS-P J020529.0−115925B,65.0,,,17.491655705329972
24,Castor,0052,5.5692e+30,1669680000.0,DENIS-P J020529.0−115925C,65.0,,,51.354633796020416
25,Gacrux,0088,2.9835e+30,58438800000.0,SDSS J020742.48+000056.2 [de],111.0,47.0,0.97,133.32528682062622
26,Bellatrix,0240,1.7105399999999998e+31,4035060000.0,2MASS J02103857-3015313,101.0,15.0,1.53,0.058305519017766566
27,Elnath,0130,9.945e+30,2921940000.0,2MASS J02340093-6442068,155.0,20.0,1.62,70.11637302474244
28,Miaplacidus,0110,6.9615e+30,4730760000.0,2MASS J02411151-0326587 [de],152.0,27.0,1.41,77.74069202368875
29,Alnilam,"2,000",6.3648e+31,29219400000.0,2MASS J02431371−2453298,35.0,33.0,0.99,20.759992757536956
30,Gamma Velorum,"01,100",1.7900999999999998e+31,4174200000.0,LP 771-21,53.0,78.0,1.08,4.975404289516081
31,Alnair,0101,7.956e+30,2365380000.0,2MASS J02511327+0047364,,,,68.56729036489348
32,Alioth,0081,5.7681e+30,2921940000.0,Teegarden's star,12.578,80.0,1.27,94.90282403445465
33,Alnitak,01050,6.5637e+31,13914000000.0,2MASS J02535980+3206373,184.0,65.0,1.9,45.08960137373948
34,Dubhe,0120,8.453249999999999e+30,20871000000.0,WISE J0254+0223,24.0,65.0,1.9,22.62720582041485
35,Mirfak,0590,1.6906499999999999e+31,47307600000.0,DEN 0255-4700,16.2,80.0,0.97,1.2951599291146547
36,Wezen,"1,600",3.3812999999999997e+31,139140000000.0,2MASS J03185403-3421292 [de],45.0,49.0,0.97,0.5041712526830403
37,Sargas,0270,1.13373e+31,18088200000.0,2MASS J03205965+1854233,47.0,88.0,1.15,0.11656439362031892
38,Kaus Australis,0140,6.9615e+30,4730760000.0,2MASS J03231002-4631237,192.0,23.0,1.66,2.3126245862715553
39,Avior,0630,1.7900999999999998e+31,90441000000.0,SDSS J032553.17+042540.1,59.0,45.0,0.95,20.759992757536956
40,Alkaid,0104,1.2132899999999998e+31,2365380000.0,2MASS J03264225-2102057 [de],80.0,18.0,1.3,0.14606050018557193
41,Menkalinan,081,4.75371e+30,1927089000.0,2MASS J03284265+2302051 [de],98.0,54.0,0.98,144.72680665254333
42,Atria,0390,1.3923e+31,64004400000.0,2MASS J03341218-4953322,27.0,73.0,1.04,85.43097080483021
43,Alhena,0109,5.5692e+30,2295810000.0,LP 944-20,20.9,73.0,1.43,0.22682941046987448
44,Peacock,0180,1.17351e+31,3339360000.0,2MASP J0345432+254023,88.0,74.0,1.05,70.51915997124031
45,Alsephina[2],0080,4.7735999999999997e+30,2017530000.0,Teide 1,380.0,55.0,3.78,70.23385645015131
46,Mirzam,0500,2.68515e+31,6957000000.0,2MASS J03510004-0052452,48.0,102.0,1.27,78.26943965552644
47,Polaris,0430,1.07406e+31,27132300000.0,2MASS J03552337+1133437,29.8,20.0,1.32,37.02633679704248
48,Alphard,0180,5.967e+30,34785000000.0,DENIS-P J035726.9-441730 [de],130.0,,,0.9737366679038129
49,Mintaka,01200,4.7736e+31,11479050000.0,2MASS J04151954−0935066,18.6,30.0,0.95,0.32912299375148873
50,Scheat,0196,4.1769e+30,66091500000.0,SDSSp J042348.57-041403.5 [de],50.0,,,24.17799770442525
51,Almaaz,0653,2.9835e+31,97398000000.0,2MASS J04285096-2253227 [de],85.0,80.0,1.09,0.0638188630543053
52,Rasalgethi,0360,5.5692e+30,194796000000.0,2MASS J04351612-1606574,34.0,100.0,1.26,0.20989986846395964
53,Tau Ceti,011.9,1.557387e+30,621260100.0,2MASS J04362788-4114465,142.0,39.0,1.97,0.009795327194984781
54,Delta Pavonis,019.92,1.9710989999999998e+30,848754000.0,2MASS J04390101-2353083 [de],29.5,48.0,0.97,269.29967110479345
55,Ran,010.48,1.6309799999999997e+30,514818000.0,2MASS J04414489+2301513,470.0,19.0,,182.61269753187165
56,V382 Carinae,"08,900",3.978e+31,337414500000.0,2MASS J04433764+0002040,82.0,22.0,1.78,410.7025427261698
57,Eta Carinae,"07,500",1.989e+32,41742000000.0,2MASS J04455387-3048204 [de],42.0,64.0,1.0,0.023319728894426524
58,Delta Cephei,0887,8.950499999999999e+30,30958650000.0,2MASS J04510093-3402150 [de],69.0,1.04,72.0,7.618587818321498
59,Mu Cephei,"06,000",3.8188799999999997e+31,676220400000.0,2MASS J05002100+0330501 [de],44.0,64.0,1.0,0.6232603088337748
60,Titawin,044.25,2.52603e+30,1029636000.0,2MASS J05012406-0010452 [de],64.0,21.0,1.38,0.005573726798954914
61,Rho Cassiopeiae,"08,154",4.3758e+31,442465200000.0,2MASS J05160945-0445499 [de],73.0,47.0,0.97,159.02202111653529
62,P Cygni,"05,545",5.967e+31,52873200000.0,2MASS J0523−1403,40.0,68.0,1.01,0.014917135279732374
64,VV Cephei,"04,900",18.2,358981200000.0,SDSS J053951.99-005902.0,41.62,61.0,1.01,1.4245281931764575
65,61 Cygni,011.41,1.3923e+30,462640500.0,2MASS J05591914-1404488 [de],34.0,,,9.425712313713203e-33
66,R Doradus,0178,1.3923e+30,207318600000.0,LSR 0602+3910 [de],34.6,28.0,1.41,434.1419255394918
67,Polaris Australis,0281,3.16251e+30,2601918000.0,2MASS J06085283-2753583,102.0,38.0,1.51,0.0021619342937446713
68,R Coronae Borealis,"04,566",1.6906499999999997e+30,59134500000.0,WISEP J061135.13-041024.0A,69.0,65.0,,31.176754176608036
69,54 Piscium,036.1,1.51164e+30,653958000.0,WISEP J061135.13-041024.0B,69.0,53.0,,0.03226696017171458
70,Mira,0300,2.3867999999999998e+30,257409000000.0,2MASS J06244595-4521548 [de],39.0,56.0,0.99,235.9037604224493
71,RW Cephei,"014,000",2.76471e+31,805620600000.0,2MASS J06411840-4322329 [de],65.0,67.0,1.01,0.00240411244522636
72,Lacaille 8760,012.87,1.1933999999999999e+30,354807000.0,DENIS-P J0652197-253450 [de],51.0,75.0,1.05,0.002842985601617999
75,II Pegasi,0130,1.5912e+30,2365380000.0,UGPS J072227.51-054031.2,13.4,26.0,0.98,632.685493563031
76,VY Canis Majoris,"03,900",3.3812999999999997e+31,987894000000.0,2MASSI J0727182+171001 [de],29.6,41.0,0.94,0.0023123267927061875
77,Pistol Star,"025,000",1.989e+32,222624000000.0,2MASS J07290002-3954043 [de],25.8,37.0,0.94,0.2678409779878652
78,S Doradus,"0169,000",4.7736e+31,264366000000.0,SDSS J074201.41+205520.5 [de],49.0,43.0,0.94,0.04558490218164664
79,UY Scuti,"05,100",1.3923e+31,525253500000.0,2MASS J0746425+200032 [fr],49.6,,,0.003368070049939946
80,Barnard's Star,05.98,2.7846e+29,139140000.0,DENIS-P J0751164-253043 [de],55.0,71.0,1.03,959.9420651085088
82,Proxima Centauri,04.25,2.3868e+29,0.15,DENIS J081730.0-615520,16.1,44.0,0.94,7.079779199999999e+20
83,KIC 8462852,"01,470",2.84427e+30,1099206000.0,DENIS J082303.1−491201A,67.0,44.0,,157.1081961573429
84,R136a1,"0163,000",5.7680999999999994e+32,22262400000.0,DENIS J082303.1−491201B,67.0,28.0,,77.6738836164809
85,Melnick 42,"0163,000",3.75921e+32,14679270000.000002,2MASS J08251968+2115521 [de],35.0,52.0,0.98,116.4324060911917
86,WR 102,"018,134",3.7791e+31,271323000.0,SDSSp J083008.12+482847.4 [de],43.0,48.0,0.99,34261.10498180082
87,VFTS 352,"0164,000",1.1432771999999998e+32,10066779000.0,LHS 2021,55.0,88.0,1.15,75.29335961731137
88,YBP 1194,"02,772",2.00889e+30,688743000.0,SDSS J083048.80+012831.1 [de],77.0,46.0,0.96,282.6363157577489
89,Gliese 1214,047.5,3.1824e+29,146097000.0,2MASSI J0835425-081923 [de],23.53,62.0,1.0,995.0808579032163
90,NML Cygni,"05,251",9.945e+31,1140948000000.0,2MASSI J0847287-153237 [de],43.0,64.0,1.0,0.005098697974783871
91,VB 10,018.72,1.4917499999999999e+29,69570000.0,2MASS J08533619-0329321,27.6,77.0,1.07,2057.0187109468043
92,WOH G64,"0163,000",3.7791e+31,1071378000000.0,2MASSI J0859254-194926 [de],50.0,50.0,0.98,0.0021972988985207898
93,TRAPPIST-1,039.6,1.7702099999999997e+29,83484000.0,2MASSW J0920122+351742 [de],95.0,,,1695.1357895765332
94,2MASS J0523-1403,040.3,1.3923e+29,59830199.99999999,2MASSI J0937347+293142,20.0,42.0,0.94,2595.841171196618
